cities;code_com;traffic_dir;level_0;index;Web_Adult;Tor;YouTube;c;pop;Tor_to_darknet_share;Pornography_in_darknet_URL_share;Child_pornography_to_pornography_in_darknet_URL_share;cpc;cpc_per_1000;log_cpc;log_cpc_per_1000;yt_per_1000;wa_per_1000;tor_per_1000;log_yt_per_1000;log_wa_per_1000;log_tor_per_1000;sv_19;sv_17_21;sv_com_19;sv_com_17_21
Bordeaux;33003;DL;1377053601;1377053601;666271061.0;22308649.0;57046691611.0;0.0011620998631891371;16094;11;0.41705436279529645;0.4150197628458498;25924.87795083448;1610.8411799946864;10.16295832530784;0.6314749798252667;3544593737.479806;41398723.810115576;1386146.949173605;1.5389049285777312;1.2624087948429066;1.0513536105859678;0.420774224573215;0.9793449961190882;0.420774224573215;0.9793449961190882
Bordeaux;33004;DL;1379089986;1379089986;263003022.0;3796217.0;14876093480.0;0.0012525891461991406;3143;11;0.41705436279529645;0.4150197628458498;4755.100210816663;1512.9176617297687;8.466973049587422;2.6939144287583265;4733087330.575883;83678976.1374483;1207832.3258033728;7.452440756263694;6.168525638107006;4.820081324376512;0.781463555819974;0.7813523831204224;;
Bordeaux;33012;DL;1370415173;1370415173;402559.0;21866.0;27666465.0;0.00030323723150519694;3510;11;0.41705436279529645;0.4150197628458498;6.630585304092636;1.8890556421916345;1.8916930814614958;0.538943897852278;7882183.760683761;114689.17378917379;6229.62962962963;4.881974811370249;3.67680824756391;2.846919714528328;0.781463555819974;0.5673814785119078;;0.0
Bordeaux;33013;DL;1376571129;1376571129;546993979.0;7692527.0;29882130459.0;0.001024254798547147;8638;11;0.41705436279529645;0.4150197628458498;7879.10769270349;912.1449053835946;8.971969939473574;1.038662877920071;3459380696.804816;63324146.67747164;890544.9178050475;2.792373986475026;2.3292369012518015;1.835582298690024;0.577634011090573;0.7109664726869158;0.577634011090573;0.7697119334363638
Bordeaux;33032;DL;1379779913;1379779913;552469069.0;21142778.0;47410632754.0;0.001464290716210742;7151;11;0.41705436279529645;0.4150197628458498;30959.17354030472;4329.348837967378;10.34042463291276;1.446010996072264;6629930464.830094;77257596.00055936;2956618.37505244;3.437576892769708;2.814978045878706;2.358664374132685;0.781463555819974;0.7813523831204224;;
Bordeaux;33035;DL;1373231979;1373231979;1181715.0;22242.0;62224872.0;0.0008390612804261006;696;11;0.41705436279529645;0.4150197628458498;18.66240099923733;26.813794539134097;2.9265108580548462;4.20475697996386;89403551.72413793;1697866.3793103448;31956.896551724138;25.784864007420676;20.08976628034999;14.381807000544233;0.781463555819974;0.7813523831204224;;
Bordeaux;33039;DL;1378227441;1378227441;1462201920.0;468966798.0;108705533132.0;0.001406242327848926;27713;11;0.41705436279529645;0.4150197628458498;659480.9617033771;23796.808779395127;13.399208382949325;0.48349902150432383;3922546571.3564034;52762310.828852884;16922267.455706708;0.9169670743895053;0.7614913326205207;0.720457638318754;0.815873637491025;0.8611231127459389;0.815873637491025;0.8611231127459389
Bordeaux;33056;DL;1379757267;1379757267;1096634721.0;37928610.0;99188455013.0;0.0015231394929807007;15615;11;0.41705436279529645;0.4150197628458498;57770.56380486274;3699.68388119518;10.964234648202549;0.7021604001410534;6352126481.780339;70229569.06820366;2428985.590778098;1.6215361808227418;1.333045916288445;1.1175931006429451;0.843115636552306;0.6617918304668866;0.843115636552306;0.6617918304668866
Bordeaux;33063;DL;1380406756;1380406756;16060338800.0;1197270997.0;1438967568822.0;0.0016477868590233098;252040;11;0.41705436279529645;0.4150197628458498;1972847.4155463364;7827.517122466023;14.49498844574772;0.057510666742373116;5709282529.844469;63721388.668465324;4750321.365656245;0.11107342884572892;0.09323765529730568;0.08293648085511723;1.46000505828524;1.440918613893428;1.46000505828524;1.440918613893428
Bordeaux;33065;DL;1379203536;1379203536;537372987.0;45555219.0;36524812075.0;0.0015053435618781797;3552;11;0.41705436279529645;0.4150197628458498;68576.25563160054;19306.37827466231;11.135701625978683;3.1350511334399447;10282886282.376125;151287440.0337838;12825230.574324325;6.847200914826534;5.659403994027664;4.964649705094099;0.781463555819974;0.7813523831204224;;
