code_com,adult_entertainment,amateur_sports_team,church_cathedral,mosque,religious_organization,school
33003,0.0,0.0,0.12426991425375916,0.0,0.0,0.18640487138063874
33004,0.0,0.0,0.0,0.0,0.0,0.6363347120585428
33012,0.0,0.0,0.0,0.0,0.0,0.0
33013,0.0,0.0,0.11576753878212549,0.0,0.11576753878212549,0.0
33032,0.0,0.13984058173682004,0.0,0.0,0.0,0.13984058173682004
33035,0.0,0.0,0.0,0.0,0.0,0.0
33039,0.0,0.036084148233680946,0.0,0.036084148233680946,0.0,0.1804207411684047
33056,0.0,0.0,0.0,0.0,0.0,0.3202049311559398
33063,0.007935248373274084,0.019838120933185207,0.13886684653229645,0.007935248373274084,0.07538485954610379,0.36898904935724486
33065,0.0,0.0,0.0,0.0,0.0,0.0
33067,0.0,0.0,0.0,0.0,0.0,0.0
33069,0.0,0.12568603628136915,0.0,0.0,0.0,0.29326741798986133
33075,0.0,0.1108831845650607,0.16632477684759106,0.0,0.05544159228253035,0.2217663691301214
33080,0.0,0.0,0.0,0.0,0.0,0.0
33085,0.0,0.0,0.0,0.0,0.0,0.0
33090,0.0,0.0,0.0,0.0,0.0,0.0
33096,0.0,0.0,0.0,0.0,0.0,0.1232741617357002
33099,0.0,0.0,0.0,0.0,0.0,0.0
33119,0.0,0.04103574213139644,0.08207148426279288,0.04103574213139644,0.04103574213139644,0.32828593705117154
33122,0.0,0.0,0.0,0.0,0.0,0.0
33143,0.0,0.0,0.0,0.0,0.0,0.0
33162,0.08650519031141868,0.04325259515570934,0.04325259515570934,0.0,0.12975778546712805,0.08650519031141868
33167,0.0,0.0,0.05820044232336166,0.0,0.0,0.2910022116168083
33192,0.0,0.039119039236396355,0.039119039236396355,0.0,0.0,0.2347142354183781
33200,0.0,0.09186110600771634,0.09186110600771634,0.0,0.0,0.09186110600771634
33234,0.0,0.0,0.0,0.0,0.0,0.0
33238,0.0,0.0,0.0,0.0,0.09725734292939116,0.0
33249,0.0,0.0430163031789048,0.1290489095367144,0.0,0.21508151589452404,0.0860326063578096
33256,0.0,0.0,0.0,0.0,0.0,0.0
33262,0.0,0.0,0.0,0.0,0.0,0.0
33273,0.0,0.0,0.13694878115584772,0.0,0.0,0.0
33281,0.0,0.05688524823300198,0.02844262411650099,0.014221312058250495,0.042663936174751484,0.2133196808737574
33312,0.0,0.23651844843897823,0.11825922421948912,0.0,0.0,0.23651844843897823
33318,0.0,0.032331592815920074,0.016165796407960037,0.016165796407960037,0.06466318563184015,0.2909843353432807
33322,0.0,0.0,0.0,0.0,0.0,0.0
33339,0.0,0.0,0.0,0.0,0.0,0.0
33366,0.0,0.0,0.0,0.0,0.0,0.0
33376,0.0,0.13991884706870014,0.13991884706870014,0.0,0.0,0.0
33397,0.0,0.0,0.0,0.0,0.0,0.0
33415,0.0,0.0,0.0,0.0,0.0,0.0
33422,0.0,0.0,0.0,0.0,0.0,0.0
33433,0.0,0.0,0.0,0.0,0.0,0.0
33434,0.0,0.0,0.0,0.0,0.0,0.4633920296570899
33449,0.0,0.0,0.03230391523452642,0.0,0.03230391523452642,0.2584313218762114
33487,0.0,0.0,0.0,0.0,0.0,0.0
33494,0.0,0.0,0.0,0.0,0.0,0.0
33519,0.0,0.0,0.0,0.0,0.0,0.19837333862328904
33522,0.0,0.07023787226072299,0.09365049634763063,0.0,0.046825248173815316,0.14047574452144598
33535,0.0,0.0,0.0,0.0,0.0,0.0
33550,0.0,0.061068702290076333,0.030534351145038167,0.030534351145038167,0.0,0.21374045801526717
33554,0.0,0.0,0.0,0.0,0.0,0.0
63014,0.0,0.09818360333824251,0.09818360333824251,0.19636720667648502,0.0,0.39273441335297005
63019,0.0,0.24832381425378697,0.0,0.0,0.0,0.0
63026,0.0,0.0,0.0,0.0,0.0,0.0
63032,0.0,0.09110787172011661,0.0,0.0,0.0,0.27332361516034986
63034,0.0,0.0,0.0,0.0,0.0,0.0
63042,0.0,0.2677376171352075,0.0,0.0,0.0,0.0
63063,0.0,0.0,0.0,0.0,0.0,0.12084592145015105
63069,0.0,0.0,0.0,0.0,0.0,0.0
63070,0.0,0.0,0.0,0.0,0.0,0.0
