Day,Hour,Tor_scaled,Web_Adult,YouTube
Thursday,1,972383.5351486944,6069015422.027,278299134250.008
Thursday,2,375538.0696813559,3606381177.364,178233434158.004
Thursday,3,206150.21949221042,2163544548.031,122820910219.024
Thursday,4,213745.1310942607,1447706384.69,96607466907.019
Thursday,5,273959.7419963436,1975277207.776,89744294404.007
Thursday,6,245448.5100381712,4563749347.557,147256464349.001
Thursday,7,387111.2224786698,6615487474.927,352025527864.0
Thursday,8,418272.9636713831,6586298509.88,519213492554.0
Thursday,9,495093.50548790157,6597113388.879,473014305296.0
Thursday,10,685628.2392706637,5556373547.239,442174903932.0
Thursday,11,757294.4443859097,5715967314.141,468017525418.0
Thursday,12,642840.4705863369,5862083139.047,540642194372.0
Thursday,13,687572.5828655671,6857157020.821,577971895070.0
Thursday,14,846897.5056238843,6966187057.834,512863396839.0
Thursday,15,661860.2384741677,6656872984.967,518973439355.0
Thursday,16,640308.1730075037,5919725995.926,552159175358.0
Thursday,17,740955.2592308308,6018436976.792,636087378063.0
Thursday,18,629171.1202726887,5581573286.007,687926823320.0
Thursday,19,633665.2140669998,5158509825.215,667711072559.0
Thursday,20,881774.5567306879,4586473810.476,648761091695.0
Thursday,21,714010.132029947,5825108851.831,635870285783.0
Thursday,22,584771.096000894,9078998400.566,652588334620.001
Thursday,23,494965.5145400721,11165017652.46,581382599203.0
Tuesday,0,361904.97859359026,11743952778.264,406928516345.0
Tuesday,1,324472.9777825234,6093054266.834,268263978042.001
Tuesday,2,242282.09724963395,3127827181.856,173721779465.001
Tuesday,3,138864.91095439487,2078249542.75,120000727899.006
Tuesday,4,161784.7613899667,1588694227.057,92074559004.004
Tuesday,5,167836.88524675468,2163221429.965,87849125136.003
Tuesday,6,98238.94329680644,4411795840.075,148523690420.0
Tuesday,7,363326.41572255676,6912590842.659,365467616622.0
Tuesday,8,454613.6027616399,6847340369.755,542971457238.0
Tuesday,9,488456.7435630245,5660761604.029,471796558004.0
Tuesday,10,481314.0436323154,5765251294.988,429382738944.0
Tuesday,11,528674.0124541613,5527707846.988,454991238847.0
Tuesday,12,522834.7175875079,5579840289.723,543767012658.0
Tuesday,13,710175.3262708769,7656126197.527,587464415801.0
Tuesday,14,744626.1144194744,7089040045.678,505485570224.0
Tuesday,15,690481.6779639119,7226600406.681,516317818960.0
Tuesday,16,827850.6260639847,6637763963.749,560845927860.0
Tuesday,17,699125.3873209476,6245799185.562,659909707822.0
